task_id	hash	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	env	workdir	scratch
5	ad/6bafa4	3003039	txt_reader	EV_004.txt	txt_reader (EV_004.txt)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:34:21.546	2026-02-04 11:34:21.572	2026-02-04 11:34:22.081	535ms	321ms	-	63.6%	0.0%	3.4 MB	7.2 MB	3.4 MB	7.2 MB	6.8 MB	19.1 KB	898	33	0	32 KB	9	0	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/ad/6bafa491ac7b4683171ac0c94b366c	-
3	cf/e617d7	3003064	txt_reader	EV_008.txt	txt_reader (EV_008.txt)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:34:21.582	2026-02-04 11:34:21.672	2026-02-04 11:34:22.126	544ms	309ms	-	59.5%	0.0%	3.2 MB	7.2 MB	3.2 MB	7.2 MB	6.8 MB	19.2 KB	897	33	0	32 KB	9	0	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/cf/e617d7a19f2367ecfb7bf267a53592	-
9	62/8a2cc5	3003204	txt_reader	EV_002.txt	txt_reader (EV_002.txt)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:34:21.714	2026-02-04 11:34:21.772	2026-02-04 11:34:22.399	685ms	359ms	-	48.8%	0.0%	3.5 MB	7.2 MB	3.5 MB	7.2 MB	6.8 MB	19.2 KB	897	33	0	32 KB	9	0	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/62/8a2cc502ecf921bef7fb2757bde3b0	-
2	f7/607af1	3003267	txt_reader	EV_007.txt	txt_reader (EV_007.txt)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:34:21.842	2026-02-04 11:34:21.972	2026-02-04 11:34:22.784	942ms	404ms	-	48.7%	0.0%	3.5 MB	7.2 MB	3.5 MB	7.2 MB	6.8 MB	19.2 KB	897	33	0	32 KB	6	0	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/f7/607af19ed3cdf389a4a9684f29c4dc	-
7	4a/1a21bb	3003469	txt_reader	EV_003.txt	txt_reader (EV_003.txt)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:34:22.169	2026-02-04 11:34:22.327	2026-02-04 11:34:23.367	1.2s	641ms	-	29.3%	0.0%	3.1 MB	7.2 MB	3.1 MB	7.2 MB	6.8 MB	19.2 KB	899	34	0	24 KB	2	0	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/4a/1a21bb75c964f7bde9eb5580a9292f	-
11	ed/10215f	3003607	tree_processor	EV_004_txt.parquet	tree_processor (EV_004_txt.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:34:22.542	2026-02-04 11:34:22.699	2026-02-04 11:34:24.195	1.7s	854ms	-	31.4%	0.0%	3.1 MB	7.2 MB	3.1 MB	7.2 MB	6.5 MB	19.8 KB	1005	79	0	24 KB	2	0	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/ed/10215f447ed9d8b68741b1ae33a747	-
12	bd/2c15d2	3003706	tree_processor	EV_008_txt.parquet	tree_processor (EV_008_txt.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:34:23.021	2026-02-04 11:34:23.184	2026-02-04 11:34:24.614	1.6s	815ms	-	32.8%	0.0%	2.8 MB	7.2 MB	2.8 MB	7.2 MB	6.5 MB	19.9 KB	1003	79	0	24 KB	2	0	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/bd/2c15d2e5b7ee9f56082ca01f8bbdae	-
13	89/66b91b	3003847	tree_processor	EV_002_txt.parquet	tree_processor (EV_002_txt.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:34:23.569	2026-02-04 11:34:23.768	2026-02-04 11:34:25.491	1.9s	1.1s	-	24.0%	0.0%	3.4 MB	7.2 MB	3.4 MB	7.2 MB	6.5 MB	19.8 KB	1004	83	0	24 KB	54	0	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/89/66b91bf74bdf0e55bf9f3ea88beec0	-
14	fe/8e0b39	3004060	tree_processor	EV_007_txt.parquet	tree_processor (EV_007_txt.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:34:24.394	2026-02-04 11:34:24.715	2026-02-04 11:34:26.860	2.5s	1.3s	-	22.2%	0.0%	3.5 MB	7.2 MB	3.5 MB	7.2 MB	6.5 MB	19.9 KB	1004	81	0	24 KB	33	0	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/fe/8e0b39c598bdacc7fff0934022b650	-
15	0f/25922f	3004085	tree_processor	EV_003_txt.parquet	tree_processor (EV_003_txt.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:34:24.847	2026-02-04 11:34:25.216	2026-02-04 11:34:27.319	2.5s	1.2s	-	22.6%	0.0%	3.2 MB	7.2 MB	3.2 MB	7.2 MB	6.5 MB	19.6 KB	1005	81	0	24 KB	43	0	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/0f/25922f014f2e10f2e91b9c14863ebd	-
16	4d/200896	3004309	bisbas_analyzer	EV_004_txt_tree.parquet	bisbas_analyzer (EV_004_txt_tree.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:34:25.730	2026-02-04 11:34:25.892	2026-02-04 11:34:28.110	2.4s	1.2s	-	17.9%	0.0%	3.4 MB	7.2 MB	3.4 MB	7.2 MB	6.6 MB	5.7 KB	939	47	92 KB	8 KB	21	0	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/4d/200896f15b1b74fc918f4520a19138	-
19	ac/da8a5a	3004579	panas_analyzer	EV_004_txt_tree.parquet	panas_analyzer (EV_004_txt_tree.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:34:27.187	2026-02-04 11:34:27.419	2026-02-04 11:34:29.694	2.5s	1.2s	-	21.8%	0.0%	3.5 MB	7.2 MB	3.5 MB	7.2 MB	6.6 MB	5.8 KB	938	47	0	8 KB	25	0	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/ac/da8a5af02228b79fd707ae827e3d5e	-
20	5c/52c099	3004654	be7_analyzer	EV_004_txt_tree.parquet	be7_analyzer (EV_004_txt_tree.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:34:27.740	2026-02-04 11:34:28.111	2026-02-04 11:34:30.841	3.1s	2.1s	-	14.5%	0.2%	72.4 MB	3.1 GB	72.4 MB	3.1 GB	6.6 MB	18.5 KB	1009	80	0	20 KB	62	3	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/5c/52c099ac4cc19977eb564391723fe9	-
18	79/46d176	3004738	sam_analyzer	EV_004_txt_tree.parquet	sam_analyzer (EV_004_txt_tree.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:34:28.318	2026-02-04 11:34:28.511	2026-02-04 11:34:31.421	3.1s	2s	-	12.8%	0.2%	72.2 MB	3.1 GB	72.2 MB	3.1 GB	6.6 MB	18.1 KB	1009	80	0	40 KB	70	1	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/79/46d1760e705db026a820e15524a434	-
17	81/c79f9b	3005172	ea11_analyzer	EV_004_txt_tree.parquet	ea11_analyzer (EV_004_txt_tree.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:34:30.010	2026-02-04 11:34:30.196	2026-02-04 11:34:32.847	2.8s	2s	-	13.6%	0.2%	72.9 MB	3 GB	72.9 MB	3.1 GB	6.6 MB	18.8 KB	1008	82	0	24 KB	83	3	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/81/c79f9b2662b677a6cc74d82790ee4e	-
23	3b/eb8757	3005550	panas_analyzer	EV_008_txt_tree.parquet	panas_analyzer (EV_008_txt_tree.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:34:31.742	2026-02-04 11:34:31.923	2026-02-04 11:34:33.403	1.7s	882ms	-	22.5%	0.0%	3.2 MB	7.2 MB	3.2 MB	7.2 MB	6.6 MB	5.8 KB	939	48	0	8 KB	2	0	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/3b/eb875704cd4db1136068f684b835a2	-
25	9c/dd0773	3005398	be7_analyzer	EV_008_txt_tree.parquet	be7_analyzer (EV_008_txt_tree.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:34:31.082	2026-02-04 11:34:31.242	2026-02-04 11:34:34.076	3s	1.8s	-	17.7%	0.2%	72.8 MB	3 GB	72.8 MB	3.1 GB	6.6 MB	18.5 KB	1009	81	0	20 KB	76	3	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/9c/dd0773e0f82257770fba507a650a5c	-
21	a0/fd24e1	3005834	ea11_analyzer	EV_008_txt_tree.parquet	ea11_analyzer (EV_008_txt_tree.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:34:33.064	2026-02-04 11:34:33.248	2026-02-04 11:34:36.223	3.2s	2.5s	-	13.7%	0.2%	73 MB	3 GB	73 MB	3 GB	6.6 MB	18.8 KB	1009	83	0	28 KB	80	4	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/a0/fd24e1f0dcf790cae9a9d557d73f9e	-
24	c5/33cabe	3006057	bisbas_analyzer	EV_008_txt_tree.parquet	bisbas_analyzer (EV_008_txt_tree.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:34:34.268	2026-02-04 11:34:34.477	2026-02-04 11:34:36.269	2s	967ms	-	27.7%	0.0%	3.1 MB	7.2 MB	3.1 MB	7.2 MB	6.6 MB	5.8 KB	939	51	0	16 KB	2	0	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/c5/33cabe176ad9e461ed7d010e68e294	-
22	a0/b7f925	3005939	sam_analyzer	EV_008_txt_tree.parquet	sam_analyzer (EV_008_txt_tree.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:34:33.636	2026-02-04 11:34:34.077	2026-02-04 11:34:36.741	3.1s	2.1s	-	14.1%	0.2%	72.4 MB	3.1 GB	72.4 MB	3.1 GB	6.6 MB	18.1 KB	1011	82	0	60 KB	59	2	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/a0/b7f9256c646caa7e6e9e6729bc7284	-
30	99/e2f164	3006535	panas_analyzer	EV_002_txt_tree.parquet	panas_analyzer (EV_002_txt_tree.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:34:36.576	2026-02-04 11:34:36.742	2026-02-04 11:34:38.385	1.8s	954ms	-	22.8%	0.0%	2.8 MB	7.2 MB	2.8 MB	7.2 MB	6.6 MB	5.8 KB	939	47	0	8 KB	2	0	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/99/e2f164807ff7084bebb96d64f6e6fa	-
29	a1/90e3c8	3006526	sam_analyzer	EV_002_txt_tree.parquet	sam_analyzer (EV_002_txt_tree.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:34:36.390	2026-02-04 11:34:36.570	2026-02-04 11:34:39.435	3s	2.1s	-	12.2%	0.2%	72.4 MB	3.1 GB	72.4 MB	3.1 GB	6.6 MB	18.1 KB	1008	80	0	20 KB	88	2	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/a1/90e3c8153f160e13e7b108efe2571a	-
28	c4/d3ec70	3006638	be7_analyzer	EV_002_txt_tree.parquet	be7_analyzer (EV_002_txt_tree.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:34:36.961	2026-02-04 11:34:37.142	2026-02-04 11:34:39.636	2.7s	2s	-	13.3%	0.2%	72.5 MB	3 GB	72.5 MB	3.1 GB	6.6 MB	18.5 KB	1010	83	0	24 KB	74	1	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/c4/d3ec70d34ec9c448927c117db771a2	-
27	ea/a94613	3007237	bisbas_analyzer	EV_002_txt_tree.parquet	bisbas_analyzer (EV_002_txt_tree.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:34:39.641	2026-02-04 11:34:39.837	2026-02-04 11:34:41.140	1.5s	925ms	-	27.9%	0.0%	3.2 MB	7.2 MB	3.2 MB	7.2 MB	6.6 MB	5.8 KB	938	49	0	8 KB	2	0	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/ea/a946133625a420f6d5de6356c39fb4	-
26	25/ff6bba	3007090	ea11_analyzer	EV_002_txt_tree.parquet	ea11_analyzer (EV_002_txt_tree.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:34:38.668	2026-02-04 11:34:38.888	2026-02-04 11:34:41.378	2.7s	1.8s	-	15.2%	0.2%	72.9 MB	3.1 GB	72.9 MB	3.1 GB	6.6 MB	18.8 KB	1009	83	0	20 KB	82	3	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/25/ff6bba6880a4afb77629716273affe	-
33	f0/58181b	3007290	panas_analyzer	EV_007_txt_tree.parquet	panas_analyzer (EV_007_txt_tree.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:34:39.834	2026-02-04 11:34:40.038	2026-02-04 11:34:41.484	1.7s	658ms	-	34.2%	0.0%	3.2 MB	7.2 MB	3.2 MB	7.2 MB	6.6 MB	5.9 KB	939	51	0	8 KB	2	0	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/f0/58181b83a527e2211de70689b26d57	-
31	15/0e94a4	3007733	ea11_analyzer	EV_007_txt_tree.parquet	ea11_analyzer (EV_007_txt_tree.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:34:41.269	2026-02-04 11:34:41.378	2026-02-04 11:34:56.312	15s	14.6s	-	2.2%	0.2%	73.2 MB	3.1 GB	73.2 MB	3.1 GB	6.6 MB	18.8 KB	1009	82	0	32 KB	159	4	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/15/0e94a44a16c7b8481ecb8c205defc7	-
34	87/76a7a5	3007833	be7_analyzer	EV_007_txt_tree.parquet	be7_analyzer (EV_007_txt_tree.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:34:41.501	2026-02-04 11:34:41.787	2026-02-04 11:34:56.428	14.9s	14.5s	-	2.3%	0.2%	72.9 MB	3 GB	72.9 MB	3.1 GB	6.6 MB	18.6 KB	1009	82	0	40 KB	145	8	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/87/76a7a53be90f29ad45ef8c081289c7	-
32	51/bca53f	3007905	sam_analyzer	EV_007_txt_tree.parquet	sam_analyzer (EV_007_txt_tree.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:34:41.705	2026-02-04 11:34:41.789	2026-02-04 11:34:56.489	14.8s	14.3s	-	3.1%	0.2%	73 MB	3.1 GB	73 MB	3.1 GB	6.6 MB	18.1 KB	1009	81	0	56 KB	153	16	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/51/bca53ff4da5890e5c52c40877da692	-
35	a6/2d61e3	3014552	bisbas_analyzer	EV_007_txt_tree.parquet	bisbas_analyzer (EV_007_txt_tree.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:34:56.381	2026-02-04 11:34:56.411	2026-02-04 11:35:00.150	3.8s	2.2s	-	146.0%	0.2%	69.4 MB	3.1 GB	69.4 MB	3.1 GB	6.6 MB	5.8 KB	939	49	0	12 KB	47	4	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/a6/2d61e34ae855535c1e389a1ac5818b	-
38	62/513571	3014642	sam_analyzer	EV_003_txt_tree.parquet	sam_analyzer (EV_003_txt_tree.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:34:56.515	2026-02-04 11:34:56.594	2026-02-04 11:35:02.417	5.9s	5.4s	-	33.0%	0.2%	73.2 MB	3.1 GB	73.2 MB	3.1 GB	6.6 MB	18.1 KB	1010	80	0	20 KB	89	5	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/62/5135715c2ec2304731665194d22ef6	-
36	fe/d05149	3014628	be7_analyzer	EV_003_txt_tree.parquet	be7_analyzer (EV_003_txt_tree.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:34:56.489	2026-02-04 11:34:56.592	2026-02-04 11:35:02.505	6s	5.5s	-	26.7%	0.2%	73.4 MB	3.1 GB	73.4 MB	3.1 GB	6.6 MB	18.7 KB	1009	87	0	20 KB	108	8	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/fe/d0514970b2e3c4a712ea4a62688d99	-
39	d2/9fbc8e	3015625	panas_analyzer	EV_003_txt_tree.parquet	panas_analyzer (EV_003_txt_tree.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:35:00.298	2026-02-04 11:35:00.454	2026-02-04 11:35:06.840	6.5s	4.4s	-	24.3%	0.2%	67.4 MB	3.1 GB	67.4 MB	3.1 GB	6.6 MB	5.9 KB	942	53	0	16 KB	56	5	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/d2/9fbc8e059f68e3cb7b27651b6ee180	-
40	c7/2739f4	3016380	bisbas_analyzer	EV_003_txt_tree.parquet	bisbas_analyzer (EV_003_txt_tree.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:35:03.965	2026-02-04 11:35:05.121	2026-02-04 11:35:09.598	5.6s	2.7s	-	59.8%	0.2%	64.5 MB	3.1 GB	64.5 MB	3.1 GB	6.6 MB	5.7 KB	937	47	0	12 KB	44	3	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/c7/2739f40c22508b1ac32b7069ec47f6	-
37	1e/be23a8	3016219	ea11_analyzer	EV_003_txt_tree.parquet	ea11_analyzer (EV_003_txt_tree.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:35:02.942	2026-02-04 11:35:03.307	2026-02-04 11:35:10.662	7.7s	4.1s	-	19.5%	0.2%	72.6 MB	3.1 GB	72.6 MB	3.1 GB	6.6 MB	18.8 KB	1010	80	0	24 KB	86	4	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/1e/be23a87e5516fa3e3ff10a38b8cc7f	-
41	c9/1b5dfe	3016897	bisbas_plotter	EV_004_txt_tree_bisbas.parquet	bisbas_plotter (EV_004_txt_tree_bisbas.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:35:06.932	2026-02-04 11:35:07.141	2026-02-04 11:35:14.471	7.5s	6.2s	-	77.9%	0.4%	129.5 MB	3.8 GB	129.5 MB	3.8 GB	32.2 MB	46.2 KB	5056	69	4 KB	64 KB	97	12	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/c9/1b5dfe6e273e0711433718fbb753bc	-
44	5c/ddb0ac	3018299	be73_file_finder	EV_004_txt_tree_be7.parquet	be73_file_finder (EV_004_txt_tree_be7.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:35:12.029	2026-02-04 11:35:13.070	2026-02-04 11:35:14.852	2.8s	1.1s	-	64.4%	0.0%	14.1 MB	30 MB	14.1 MB	30 MB	6.6 MB	5.2 KB	910	36	0	8 KB	13	0	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/5c/ddb0ac41b31c9f9edda65669aafc8e	-
42	4a/9ac401	3017498	panas_plotter	EV_004_txt_tree_panas.parquet	panas_plotter (EV_004_txt_tree_panas.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:35:09.722	2026-02-04 11:35:10.300	2026-02-04 11:35:16.262	6.5s	5.8s	-	85.4%	0.3%	101.4 MB	973 MB	101.4 MB	973 MB	31.8 MB	45 KB	4948	69	0	60 KB	36	7	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/4a/9ac4010a1c12086b0c7cbb3a37bec1	-
43	4f/0757ee	3018769	be71_file_finder	EV_004_txt_tree_be7.parquet	be71_file_finder (EV_004_txt_tree_be7.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:35:14.870	2026-02-04 11:35:14.954	2026-02-04 11:35:17.083	2.2s	1.4s	-	24.5%	0.2%	62.5 MB	3.1 GB	62.5 MB	3.1 GB	6.6 MB	5.1 KB	911	35	0	8 KB	55	5	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/4f/0757ee35f27ed2718b56a6912b87f1	-
45	8f/ae07a4	3018710	be72_file_finder	EV_004_txt_tree_be7.parquet	be72_file_finder (EV_004_txt_tree_be7.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:35:14.689	2026-02-04 11:35:14.773	2026-02-04 11:35:17.742	3.1s	1.4s	-	30.1%	0.2%	62.6 MB	3.1 GB	62.6 MB	3.1 GB	6.6 MB	5.2 KB	911	34	0	12 KB	67	14	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/8f/ae07a4624578c9a572480f03813187	-
48	15/75d7af	3019544	sam1_file_finder	EV_004_txt_tree_sam.parquet	sam1_file_finder (EV_004_txt_tree_sam.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:35:16.283	2026-02-04 11:35:16.362	2026-02-04 11:35:19.148	2.9s	1.9s	-	70.1%	0.1%	44.1 MB	242.6 MB	44.1 MB	287.7 MB	6.6 MB	5 KB	909	34	0	8 KB	33	5	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/15/75d7af08fb0cbab9f83663b3146c53	-
47	3e/6ac93d	3019784	sam2_file_finder	EV_004_txt_tree_sam.parquet	sam2_file_finder (EV_004_txt_tree_sam.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:35:17.740	2026-02-04 11:35:18.044	2026-02-04 11:35:20.502	2.8s	1.6s	-	81.9%	0.1%	46.4 MB	245.3 MB	46.4 MB	287.7 MB	6.6 MB	5 KB	910	36	0	8 KB	27	6	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/3e/6ac93d5b938821393b15da8e0e9f30	-
79	1b/361cda	3019790	be73_file_finder	EV_007_txt_tree_be7.parquet	be73_file_finder (EV_007_txt_tree_be7.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:35:18.108	2026-02-04 11:35:18.144	2026-02-04 11:35:20.504	2.4s	1.1s	-	231.8%	0.0%	3.1 MB	7.2 MB	3.1 MB	7.2 MB	6.6 MB	5.1 KB	910	32	0	8 KB	2	0	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/1b/361cda284eb899ba0c5422a09ca581	-
46	68/ac6b06	3020067	sam3_file_finder	EV_004_txt_tree_sam.parquet	sam3_file_finder (EV_004_txt_tree_sam.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:35:19.164	2026-02-04 11:35:19.249	2026-02-04 11:35:20.502	1.3s	735ms	-	104.7%	0.0%	15.9 MB	31.4 MB	15.9 MB	31.4 MB	6.6 MB	5 KB	910	32	0	8 KB	16	0	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/68/ac6b061bcbcac7dbf65c996f1aa5a5	-
50	2b/f1287d	3020603	ea112_file_finder	EV_004_txt_tree_ea11.parquet	ea112_file_finder (EV_004_txt_tree_ea11.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:35:20.560	2026-02-04 11:35:20.606	2026-02-04 11:35:22.747	2.2s	1.8s	-	61.4%	0.1%	44.6 MB	243.8 MB	44.6 MB	287.7 MB	6.6 MB	5.2 KB	909	34	0	8 KB	26	4	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/2b/f1287dfbeb4ffd5900fc522f5c3100	-
49	6e/37c095	3020586	ea111_file_finder	EV_004_txt_tree_ea11.parquet	ea111_file_finder (EV_004_txt_tree_ea11.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:35:20.524	2026-02-04 11:35:20.605	2026-02-04 11:35:22.748	2.2s	2.1s	-	45.4%	0.2%	62.6 MB	3.1 GB	62.6 MB	3.1 GB	6.6 MB	5.2 KB	910	35	0	8 KB	55	5	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/6e/37c095c60d2e76d298a2835874caea	-
51	20/7a2afd	3020591	ea113_file_finder	EV_004_txt_tree_ea11.parquet	ea113_file_finder (EV_004_txt_tree_ea11.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:35:20.541	2026-02-04 11:35:20.606	2026-02-04 11:35:22.900	2.4s	2.3s	-	90.2%	0.1%	33.9 MB	229.9 MB	33.9 MB	287.7 MB	6.6 MB	5.2 KB	910	35	0	8 KB	28	3	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/20/7a2afdf0b3df82999f3358a2afb337	-
54	d0/6753b3	3021560	be72_file_finder	EV_008_txt_tree_be7.parquet	be72_file_finder (EV_008_txt_tree_be7.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:35:22.777	2026-02-04 11:35:22.850	2026-02-04 11:35:23.684	907ms	791ms	-	130.5%	0.0%	3.4 MB	7.2 MB	3.4 MB	7.2 MB	6.6 MB	5.2 KB	909	33	0	8 KB	9	0	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/d0/6753b365c66eae5674c77f3d69c8db	-
55	3f/9ea5f4	3021743	be73_file_finder	EV_008_txt_tree_be7.parquet	be73_file_finder (EV_008_txt_tree_be7.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:35:22.923	2026-02-04 11:35:23.000	2026-02-04 11:35:23.688	765ms	677ms	-	191.4%	0.0%	19.4 MB	143.8 MB	19.4 MB	143.8 MB	6.6 MB	5.2 KB	910	37	0	8 KB	16	0	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/3f/9ea5f43ce7141658141055dd6e7db5	-
57	e7/7bb7cf	3022038	ea113_file_finder	EV_008_txt_tree_ea11.parquet	ea113_file_finder (EV_008_txt_tree_ea11.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:35:23.716	2026-02-04 11:35:23.789	2026-02-04 11:35:24.760	1s	854ms	-	263.5%	0.0%	3.2 MB	7.2 MB	3.2 MB	7.2 MB	6.6 MB	5.2 KB	910	32	0	8 KB	9	0	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/e7/7bb7cf4a11c7e66e7c036faed39714	-
