task_id	hash	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes	vol_ctxt	inv_ctxt	env	workdir	scratch
155	93/1031e0	3061075	linear_transform_processor	EV_008_xdf3_log_tddr.fif	linear_transform_processor (EV_008_xdf3_log_tddr.fif)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:38:40.744	2026-02-04 11:38:40.896	2026-02-04 11:38:51.703	11s	7.7s	-	62.7%	0.6%	183.4 MB	1.5 GB	183.4 MB	1.5 GB	56.8 MB	7 MB	2619	53	0	7 MB	85	33	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/93/1031e0d0bf8057e0cc4c947f7b79c4	-
156	2e/00251c	3063293	fnirs_filtering_processor	EV_004_xdf1_log_tddr_lin.fif	fnirs_filtering_processor (EV_004_xdf1_log_tddr_lin.fif)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:38:48.179	2026-02-04 11:38:49.644	2026-02-04 11:38:58.728	10.5s	5.5s	-	94.0%	0.5%	172.5 MB	1.7 GB	172.5 MB	1.7 GB	47.4 MB	6.4 MB	3114	47	1 MB	6.4 MB	57	188	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/2e/00251cdc473d7045766a30f01bbd06	-
157	c5/58b397	3063646	fnirs_filtering_processor	EV_003_xdf2_log_tddr_lin.fif	fnirs_filtering_processor (EV_003_xdf2_log_tddr_lin.fif)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:38:49.417	2026-02-04 11:38:50.946	2026-02-04 11:38:58.756	9.3s	4s	-	138.6%	0.5%	177.1 MB	1.7 GB	188.2 MB	1.7 GB	47.1 MB	6.2 MB	3113	47	708 KB	6.2 MB	118	128	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/c5/58b39774e962b22681deb61f34d4a9	-
158	fb/ddf26f	3064162	fnirs_filtering_processor	EV_002_xdf3_log_tddr_lin.fif	fnirs_filtering_processor (EV_002_xdf3_log_tddr_lin.fif)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:38:54.051	2026-02-04 11:38:55.011	2026-02-04 11:38:58.797	4.7s	2.4s	-	207.8%	0.5%	164.9 MB	1.7 GB	190 MB	1.7 GB	47.9 MB	6.7 MB	3114	47	0	6.7 MB	81	41	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/fb/ddf26fb7c9da46b08a673315c8ad21	-
159	2b/90872c	3065442	fnirs_filtering_processor	EV_007_xdf1_log_tddr_lin.fif	fnirs_filtering_processor (EV_007_xdf1_log_tddr_lin.fif)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:38:58.811	2026-02-04 11:38:58.997	2026-02-04 11:39:04.479	5.7s	4.3s	-	119.7%	0.6%	178.4 MB	1.7 GB	190.4 MB	1.7 GB	48 MB	6.7 MB	3112	47	0	6.7 MB	75	21	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/2b/90872cce78269dbec85aee5eed48f9	-
160	42/126e84	3065524	fnirs_filtering_processor	EV_008_xdf3_log_tddr_lin.fif	fnirs_filtering_processor (EV_008_xdf3_log_tddr_lin.fif)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:38:59.016	2026-02-04 11:38:59.298	2026-02-04 11:39:05.202	6.2s	4.2s	-	115.9%	0.6%	178.6 MB	1.7 GB	191.4 MB	1.7 GB	48.7 MB	7 MB	3116	48	0	7 MB	103	12	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/42/126e849f660abbfa1b76bbca2ef5d1	-
140	8d/df24b1	3054032	extracting_processor	EV_003_xdf5.fif	extracting_processor (EV_003_xdf5.fif)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:38:05.077	2026-02-04 11:38:07.022	2026-02-04 11:39:42.032	1m 37s	1m 25s	-	94.0%	20.9%	6.4 GB	8.1 GB	6.6 GB	8.1 GB	2.1 GB	1.4 GB	5364	7216	1.1 MB	1.4 GB	2609	200	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/8d/df24b1aeb4fb1103eebdd5a71ab26d	-
163	a1/0478be	3070005	eda_file_finder	EV_003_xdf5_extr.parquet	eda_file_finder (EV_003_xdf5_extr.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:39:42.106	2026-02-04 11:39:42.132	2026-02-04 11:39:43.289	1.2s	385ms	-	45.8%	0.0%	3.2 MB	7.2 MB	3.2 MB	7.2 MB	14.6 MB	8 MB	911	32	0	8 MB	10	0	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/a1/0478bea7e99d9705c9a5fa6b926cee	-
162	5a/da2e8f	3070010	trigger_file_finder	EV_003_xdf5_extr.parquet	trigger_file_finder (EV_003_xdf5_extr.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:39:42.121	2026-02-04 11:39:42.133	2026-02-04 11:39:44.015	1.9s	408ms	-	45.6%	0.0%	3.2 MB	7.2 MB	3.2 MB	7.2 MB	12.1 MB	5.5 MB	910	38	0	5.5 MB	9	1	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/5a/da2e8f59f847551cbee1b114e874bb	-
164	35/6b0063	3070036	ecg_file_finder	EV_003_xdf5_extr.parquet	ecg_file_finder (EV_003_xdf5_extr.parquet)	COMPLETED	0	-	-	2	-	-	2 GB	1	2026-02-04 11:39:42.139	2026-02-04 11:39:42.232	2026-02-04 11:39:44.369	2.2s	684ms	-	28.9%	0.0%	3.4 MB	7.2 MB	3.4 MB	7.2 MB	16.2 MB	9.6 MB	909	37	0	9.6 MB	9	0	-	/mnt/emotiview/repoShaggy/EmotiViewPrivate/EV_analysis/work/35/6b006308057a62523ae076c5e2b203	-
